form,group,category,flags,page_ref,notes
DAUNOrubicin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DEPO-medrol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
depo-PROVERA,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dePTRAn,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
deRALin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
Diazepam,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dilaNTIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
dilaUDID,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diPRIVan,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diPYRIDAMOLe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diSOPYRAMIDe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
diTROPan,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DOCEtaxel,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
doSULepin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
doTHiepin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
doXepin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DOXOrubicin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
DULoxetine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ERYthromycin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
fluoxetine,,,comparator,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF; LASA comparator only (no TML form in AU source - verify against 2024 PDF and remove or assign correct TML form)
fluVOXAMine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
gliBENCLAMide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
gliCLAZide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
gliMEPIRide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
gliPIZide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
HOMATROpine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
humALOG,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
humULIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
hydrALAZINe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
hydreA,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
hydreNE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
hydrOCHLOROTHIAZIDe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
HYDROmorphone,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
iDArubicin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
