form,group,category,flags,page_ref,notes
aFATinib,,Tyrosine kinase inhibitors ('nibs'),,,year_added=2020
aLEMTUzumab,,Monoclonal antibodies ('mabs'),,,year_added=2020
ALKeran,,Medicines used predominantly in cancer therapy,,,year_added=2013
aLLOPURINol,,General,,,year_added=2013
amINOPHYLLIne,,General,,,year_added=2013
amIODAROne,,General,,,year_added=2013
amiSULPRIDe,,General,,,year_added=2013
amITRIPTYLIne,,General,,,year_added=2013
amLODIPIne,,General,,,year_added=2013
aPomine,,General,,,year_added=2013
arATAC,,General,,,year_added=2013
arOPAX,,General,,,year_added=2013
aTENOLol,,General,,,year_added=2013
aTEZOLIzumab,,Monoclonal antibodies ('mabs'),,,year_added=2020
aTRopt,,General,,,year_added=2013
avaSTIN,,Medicines used predominantly in cancer therapy,,,year_added=2013
avaXIM,,Medicines used predominantly in cancer therapy,,,year_added=2013
aVomine,,General,,,year_added=2013
aXITinib,,Tyrosine kinase inhibitors ('nibs'),,,year_added=2020
azATHIOPRINE,,General,,,year_added=2013
azITHROMYCIN,,General,,,year_added=2013
aZopt,,General,,,year_added=2013
BENZATHINE benzylpenicillin,,General,,,year_added=2013
benzylpenicillin,,General,exception_rule,,year_added=2013
beVACizumab,,Monoclonal antibodies ('mabs'),,,year_added=2020
bisACODYl,,General,,,year_added=2013
bisOPROLOl,,General,,,year_added=2013
buDESONide,,General,,,year_added=2013
buMETANide,,General,,,year_added=2013
buPROPION,,General,,,year_added=2020
buSPIRONE,,General,,,year_added=2020
caLTRate,,General,,,year_added=2013
caPTOPRIl,,General,,,year_added=2013
caRAFate,,General,,,year_added=2013
CARBAMazepine,,General,,,year_added=2013
carbIMAZOLe,,General,,,year_added=2013
cARBOplatin,,Medicines used predominantly in cancer therapy,,,year_added=2013
caRVEDILOl,,General,,,year_added=2013
cefaCLOR,,cephalosporins,,,year_added=2020
cefaLEXin,,Cephalosporins,,,year_added=2013
cefaZOLin,,Cephalosporins,,,year_added=2013
cefEPIME,,Cephalosporins,,,year_added=2013
cefOTAXIME,,Cephalosporins,,,year_added=2013
cefOXITIN,,Cephalosporins,,,year_added=2013
ceftAROLine,,cephalosporins,,,year_added=2020
cefTAZIDIME,,Cephalosporins,,,year_added=2013
cefTRIAXONE,,Cephalosporins,,,year_added=2013
cefUROXIME,,Cephalosporins,,,year_added=2013
celAPRAM,,General,,,year_added=2013
celEBREX,,General,,,year_added=2013
cephaLEXin,,Cephalosporins,,,year_added=2013
cephaZOLin,,Cephalosporins,,,year_added=2013
CETUximab,,Medicines used predominantly in cancer therapy,,,year_added=2013
cHLORPROMAZIne,,General,,,year_added=2013
ciclosPORIN,,General,,,year_added=2020
ciprAMIL,,General,,,year_added=2013
cIPROFLOXAcin,,General,,,year_added=2013
ciprOXIN,,General,,,year_added=2013
cISplatin,,Medicines used predominantly in cancer therapy,,,year_added=2013
cLARITHROMYcin,,General,,,year_added=2013
clINDAmycin,,General,,,year_added=2013
clobazam,,General,exception_rule,,year_added=2020
cLOMIFEne,,General,,,year_added=2020
cLOMIPHEne,,General,,,year_added=2013
cLOMIPRAMIne,,General,,,year_added=2013
CLONazepam,,Benzodiazepines,,,year_added=2013
cloNIDine,,General,,,year_added=2013
cLOZAPine,,General,,,year_added=2013
cOBIMEtinib,,Tyrosine kinase inhibitors ('nibs'),,,year_added=2020
coUMADIN,,General,,,year_added=2013
coVERSYL,,General,,,year_added=2013
cyclIZINE,,Medicines used predominantly in cancer therapy,,,year_added=2013
cyclOBLASTIN,,Medicines used predominantly in cancer therapy,,,year_added=2013
CYCLOPHOSPHamide,,Medicines used predominantly in cancer therapy,,,year_added=2013
cyclosERINE,,General,,,year_added=2013
cyclosPORIN,,General,,,year_added=2013
daBRAFEnib,,Tyrosine kinase inhibitors ('nibs'),,,year_added=2020
daCTINomycin,,Medicines used predominantly in cancer therapy,,,year_added=2013
daPTomycin,,Medicines used predominantly in cancer therapy,,,year_added=2013
daSATinib,,Tyrosine kinase inhibitors ('nibs'),,,year_added=2020
DAUNOrubicin,,Medicines used predominantly in cancer therapy,,,year_added=2013
DEPO-medrol,,General,,,year_added=2013
depo-PROVERA,,General,,,year_added=2013
DIazepam,,Benzodiazepines,,,year_added=2013
